Attack_type,Edge_indice_in_testgraph,Edge_indice_in_subgraph,Feature_importance
Brute Force,7205,0,"{' Fwd Header Length.1': 0.8755699396133423, ' Fwd Header Length': 0.8588958382606506, ' Avg Fwd Segment Size': 0.8576596975326538, ' ACK Flag Count': 0.8561685681343079, ' Bwd Header Length': 0.8536866307258606, ' Total Fwd Packets': 0.851655125617981, 'Idle Mean': 0.8516468405723572, ' Total Backward Packets': 0.8453177809715271, ' Max Packet Length': 0.844866931438446, ' act_data_pkt_fwd': 0.844371497631073, ' Subflow Bwd Packets': 0.8443247675895691, ' Active Std': 0.8363135457038879, ' Idle Min': 0.8362875580787659, ' Packet Length Variance': 0.8295151591300964, ' Protocol': 0.8268457651138306, ' Idle Max': 0.8236939311027527, ' Fwd Packet Length Mean': 0.8235945701599121, ' Active Max': 0.8234090209007263, ' Fwd Packet Length Min': 0.8221040964126587, 'Subflow Fwd Packets': 0.8143934011459351, ' Down/Up Ratio': 0.8120642900466919, ' Flow IAT Min': 0.8102139234542847, ' Min Packet Length': 0.8084582686424255, ' RST Flag Count': 0.7717092633247375, ' ECE Flag Count': 0.7515954971313477, ' Packet Length Std': 0.7483404278755188, ' Average Packet Size': 0.7157039046287537, 'Active Mean': 0.7048064470291138, ' Bwd IAT Min': 0.6731098890304565, ' Active Min': 0.6026367545127869, ' Bwd URG Flags': 0.5211864709854126, ' Bwd Avg Bytes/Bulk': 0.5168646574020386, ' Fwd Avg Packets/Bulk': 0.4981604814529419, ' Fwd Avg Bulk Rate': 0.49052608013153076, 'Fwd Avg Bytes/Bulk': 0.479074627161026, ' Bwd Avg Packets/Bulk': 0.4767214059829712, ' Bwd PSH Flags': 0.47237130999565125, 'Bwd Avg Bulk Rate': 0.4519072473049164, ' Init_Win_bytes_backward': 0.4106912314891815, ' CWE Flag Count': 0.2706262171268463, ' Fwd URG Flags': 0.24230144917964935, ' Bwd Packets/s': 0.21120239794254303, ' Bwd Packet Length Std': 0.20776446163654327, ' Bwd Packet Length Mean': 0.18818867206573486, ' Flow IAT Std': 0.18740901350975037, 'Bwd Packet Length Max': 0.1853674352169037, ' Fwd IAT Std': 0.1811661571264267, ' Idle Std': 0.17912517488002777, 'Fwd Packets/s': 0.17905806005001068, 'Bwd IAT Total': 0.17825032770633698, ' Flow IAT Mean': 0.17615573108196259, ' SYN Flag Count': 0.17524117231369019, ' URG Flag Count': 0.17468079924583435, ' Fwd IAT Min': 0.17235888540744781, ' Avg Bwd Segment Size': 0.17179866135120392, ' Fwd IAT Max': 0.16990560293197632, ' Subflow Fwd Bytes': 0.16860947012901306, ' Fwd Packet Length Max': 0.16646966338157654, ' Bwd IAT Std': 0.16627047955989838, 'Total Length of Fwd Packets': 0.16485676169395447, ' Packet Length Mean': 0.16467268764972687, ' PSH Flag Count': 0.16435222327709198, ' Subflow Bwd Bytes': 0.16405022144317627, 'Fwd PSH Flags': 0.16060039401054382, ' Bwd IAT Max': 0.1604769229888916, ' min_seg_size_forward': 0.15937228500843048, ' Flow Duration': 0.1589110940694809, ' Fwd IAT Mean': 0.15804271399974823, 'Fwd IAT Total': 0.1567123681306839, ' Flow IAT Max': 0.15654371678829193, ' Fwd Packet Length Std': 0.15368087589740753, ' Bwd IAT Mean': 0.1506156027317047, ' Total Length of Bwd Packets': 0.14971958100795746, ' Bwd Packet Length Min': 0.13629958033561707, 'Init_Win_bytes_forward': 0.1353316456079483, 'FIN Flag Count': 0.1323888897895813}"
XSS,21601,0,"{' Fwd Header Length.1': 0.8753341436386108, ' Fwd Header Length': 0.8742990493774414, ' Total Backward Packets': 0.8656542897224426, ' Subflow Bwd Packets': 0.862452507019043, ' ACK Flag Count': 0.8537904620170593, ' Avg Fwd Segment Size': 0.8513028621673584, ' Bwd Header Length': 0.8424530029296875, 'Subflow Fwd Packets': 0.8414575457572937, ' Packet Length Variance': 0.8399197459220886, ' Total Fwd Packets': 0.8398422598838806, ' Active Std': 0.8392561078071594, ' act_data_pkt_fwd': 0.8362648487091064, ' Active Max': 0.8332975506782532, 'Idle Mean': 0.8319200873374939, ' Fwd Packet Length Mean': 0.831896185874939, ' Flow IAT Min': 0.8291497826576233, ' Idle Min': 0.8288725018501282, ' Min Packet Length': 0.8228640556335449, ' Idle Max': 0.8226491212844849, ' Down/Up Ratio': 0.8193145990371704, ' Max Packet Length': 0.8078904747962952, ' Protocol': 0.7925174832344055, ' RST Flag Count': 0.7873230576515198, ' Fwd Packet Length Min': 0.7852717638015747, ' ECE Flag Count': 0.7693897485733032, ' Packet Length Std': 0.7299473881721497, ' Average Packet Size': 0.7247752547264099, ' Bwd IAT Min': 0.7175715565681458, 'Active Mean': 0.7012631297111511, ' Active Min': 0.5871073007583618, 'Fwd Avg Bytes/Bulk': 0.551820695400238, ' Bwd PSH Flags': 0.5145308375358582, ' Fwd Avg Bulk Rate': 0.5117343068122864, 'Bwd Avg Bulk Rate': 0.5075922608375549, ' Bwd Avg Packets/Bulk': 0.5074325799942017, ' Bwd Avg Bytes/Bulk': 0.5056477785110474, ' Bwd URG Flags': 0.4972464442253113, ' Fwd Avg Packets/Bulk': 0.4654604196548462, ' Init_Win_bytes_backward': 0.3920934200286865, ' CWE Flag Count': 0.2964983284473419, ' Fwd URG Flags': 0.27259767055511475, 'Bwd Packet Length Max': 0.20289286971092224, ' URG Flag Count': 0.1975174993276596, ' Bwd Packet Length Mean': 0.19680583477020264, ' Fwd IAT Std': 0.19457992911338806, ' Bwd Packets/s': 0.1940932422876358, ' Idle Std': 0.18945911526679993, ' Subflow Fwd Bytes': 0.18820612132549286, ' Flow IAT Std': 0.18801099061965942, ' Total Length of Bwd Packets': 0.18350696563720703, ' PSH Flag Count': 0.18273299932479858, 'Total Length of Fwd Packets': 0.18166658282279968, ' Bwd IAT Std': 0.17696154117584229, ' Bwd Packet Length Std': 0.17662765085697174, ' Flow IAT Max': 0.1727169007062912, 'Bwd IAT Total': 0.16966649889945984, ' SYN Flag Count': 0.16790181398391724, ' Packet Length Mean': 0.16530750691890717, ' Fwd IAT Max': 0.1634257435798645, ' Fwd Packet Length Max': 0.16153712570667267, ' Avg Bwd Segment Size': 0.16128909587860107, ' Flow Duration': 0.15998120605945587, ' Bwd IAT Mean': 0.15927252173423767, 'Fwd Packets/s': 0.15867413580417633, 'Fwd PSH Flags': 0.15779854357242584, ' Fwd Packet Length Std': 0.1573498398065567, ' Subflow Bwd Bytes': 0.15715083479881287, ' Fwd IAT Min': 0.1570207178592682, ' Flow IAT Mean': 0.15672022104263306, 'Fwd IAT Total': 0.15631717443466187, ' Bwd IAT Max': 0.1518726348876953, ' min_seg_size_forward': 0.14934882521629333, 'Init_Win_bytes_forward': 0.14630316197872162, 'FIN Flag Count': 0.1455964595079422, ' Fwd IAT Mean': 0.1437927484512329, ' Bwd Packet Length Min': 0.12209903448820114}"
Sql Injection,47370,0,"{' Fwd Header Length': 0.8940680623054504, ' Fwd Header Length.1': 0.8902365565299988, ' Total Backward Packets': 0.8741875886917114, ' act_data_pkt_fwd': 0.8697127103805542, ' Bwd Header Length': 0.8635355234146118, ' Subflow Bwd Packets': 0.8574324250221252, 'Subflow Fwd Packets': 0.852498471736908, ' Active Std': 0.8515864014625549, ' Idle Max': 0.8502674698829651, ' Fwd Packet Length Mean': 0.8466366529464722, ' Idle Min': 0.8449950218200684, ' Active Max': 0.844510555267334, ' Total Fwd Packets': 0.8444167971611023, 'Idle Mean': 0.8440897464752197, ' Max Packet Length': 0.8417930006980896, ' Down/Up Ratio': 0.8327695727348328, ' Protocol': 0.8301258683204651, ' Flow IAT Min': 0.8231711387634277, ' ACK Flag Count': 0.8214858770370483, ' Avg Fwd Segment Size': 0.8214080333709717, ' Min Packet Length': 0.8151742815971375, ' Packet Length Variance': 0.8138437867164612, ' Fwd Packet Length Min': 0.8074928522109985, ' ECE Flag Count': 0.7956632971763611, ' Bwd IAT Min': 0.7590042948722839, ' Packet Length Std': 0.757053792476654, ' RST Flag Count': 0.753459632396698, 'Active Mean': 0.6685804128646851, ' Average Packet Size': 0.6653950810432434, ' Active Min': 0.6136915683746338, ' Fwd Avg Bulk Rate': 0.526691734790802, ' Bwd Avg Packets/Bulk': 0.5266560912132263, 'Fwd Avg Bytes/Bulk': 0.5092917084693909, ' Bwd PSH Flags': 0.5071107745170593, ' Fwd Avg Packets/Bulk': 0.5029349327087402, ' Bwd Avg Bytes/Bulk': 0.4808484613895416, ' Bwd URG Flags': 0.46322205662727356, 'Bwd Avg Bulk Rate': 0.4578857123851776, ' Init_Win_bytes_backward': 0.40089067816734314, ' CWE Flag Count': 0.2635253071784973, ' Fwd URG Flags': 0.24513539671897888, ' Bwd Packets/s': 0.2157992720603943, 'Bwd Packet Length Max': 0.21209090948104858, ' Fwd IAT Std': 0.20729053020477295, ' Idle Std': 0.20326358079910278, ' Bwd Packet Length Std': 0.1995958834886551, ' PSH Flag Count': 0.18498595058918, ' Avg Bwd Segment Size': 0.18397237360477448, ' Flow IAT Std': 0.18089693784713745, ' URG Flag Count': 0.17941434681415558, ' Flow IAT Max': 0.17929913103580475, ' Flow IAT Mean': 0.17606361210346222, ' Fwd IAT Max': 0.175861194729805, 'Bwd IAT Total': 0.1731867492198944, ' Fwd IAT Min': 0.16793745756149292, ' Fwd Packet Length Max': 0.16714590787887573, ' Subflow Fwd Bytes': 0.16477243602275848, 'Total Length of Fwd Packets': 0.1638905555009842, ' Bwd IAT Std': 0.16363565623760223, 'Fwd IAT Total': 0.16217146813869476, ' Fwd Packet Length Std': 0.16127295792102814, ' Bwd Packet Length Mean': 0.16023311018943787, ' Flow Duration': 0.15951433777809143, ' SYN Flag Count': 0.15789975225925446, ' Bwd IAT Max': 0.15718619525432587, ' Fwd IAT Mean': 0.15661166608333588, ' Packet Length Mean': 0.15313854813575745, 'Fwd Packets/s': 0.15245017409324646, ' min_seg_size_forward': 0.15150879323482513, 'Fwd PSH Flags': 0.14785797894001007, 'Init_Win_bytes_forward': 0.1450735330581665, ' Subflow Bwd Bytes': 0.14329519867897034, ' Total Length of Bwd Packets': 0.14223691821098328, ' Bwd IAT Mean': 0.13879622519016266, 'FIN Flag Count': 0.12481650710105896, ' Bwd Packet Length Min': 0.11738854646682739}"
Heartbleed,124271,0,"{' ACK Flag Count': 0.8673845529556274, ' Fwd Header Length': 0.8562560677528381, ' Subflow Bwd Packets': 0.8548629879951477, ' act_data_pkt_fwd': 0.8517544865608215, ' Bwd Header Length': 0.8515208959579468, ' Fwd Header Length.1': 0.8512119054794312, ' Total Backward Packets': 0.8500156998634338, ' Total Fwd Packets': 0.8491360545158386, ' Idle Min': 0.8421012163162231, 'Subflow Fwd Packets': 0.8373793959617615, 'Idle Mean': 0.8353201150894165, ' Avg Fwd Segment Size': 0.8338196277618408, ' Packet Length Variance': 0.8331413865089417, ' Idle Max': 0.8305971026420593, ' Active Max': 0.8294265866279602, ' Max Packet Length': 0.8218128681182861, ' Flow IAT Min': 0.816241443157196, ' Fwd Packet Length Mean': 0.8143680095672607, ' Active Std': 0.8142380118370056, ' Down/Up Ratio': 0.8076708316802979, ' Min Packet Length': 0.7988742589950562, ' Fwd Packet Length Min': 0.7950938940048218, ' Protocol': 0.7935619950294495, ' RST Flag Count': 0.7756057977676392, ' ECE Flag Count': 0.7737722396850586, ' Average Packet Size': 0.7494092583656311, ' Bwd IAT Min': 0.7261868715286255, ' Packet Length Std': 0.7021549344062805, 'Active Mean': 0.6933744549751282, ' Active Min': 0.5510404706001282, ' Bwd URG Flags': 0.5375750660896301, ' Bwd PSH Flags': 0.5269313454627991, ' Bwd Avg Bytes/Bulk': 0.5119889378547668, 'Fwd Avg Bytes/Bulk': 0.5093971490859985, 'Bwd Avg Bulk Rate': 0.5090849995613098, ' Fwd Avg Packets/Bulk': 0.5069427490234375, ' Bwd Avg Packets/Bulk': 0.506443202495575, ' Fwd Avg Bulk Rate': 0.4985930025577545, ' Init_Win_bytes_backward': 0.4189862012863159, ' CWE Flag Count': 0.30280801653862, ' Fwd URG Flags': 0.26187369227409363, 'Bwd Packet Length Max': 0.21215258538722992, ' Idle Std': 0.21062789857387543, ' Bwd Packets/s': 0.20450279116630554, ' Bwd Packet Length Std': 0.1984986811876297, ' Bwd Packet Length Mean': 0.19780437648296356, ' Flow IAT Std': 0.1871444284915924, ' URG Flag Count': 0.18584367632865906, ' Fwd IAT Std': 0.18306183815002441, ' PSH Flag Count': 0.18150632083415985, 'Fwd Packets/s': 0.18146944046020508, ' Avg Bwd Segment Size': 0.1768079251050949, ' SYN Flag Count': 0.17632067203521729, 'Bwd IAT Total': 0.17419299483299255, ' Packet Length Mean': 0.1740177869796753, ' Flow IAT Max': 0.17267324030399323, ' Fwd IAT Max': 0.17244930565357208, ' Fwd IAT Min': 0.16953220963478088, ' Bwd IAT Max': 0.16800448298454285, 'Total Length of Fwd Packets': 0.16538089513778687, ' Subflow Fwd Bytes': 0.1632867306470871, 'Fwd IAT Total': 0.16253270208835602, ' Flow IAT Mean': 0.15996693074703217, ' Bwd IAT Std': 0.15877199172973633, 'Init_Win_bytes_forward': 0.158561110496521, ' Bwd IAT Mean': 0.15543390810489655, ' Flow Duration': 0.15301713347434998, ' Total Length of Bwd Packets': 0.15248741209506989, ' Fwd Packet Length Max': 0.14991211891174316, 'Fwd PSH Flags': 0.14956367015838623, ' Fwd Packet Length Std': 0.14768867194652557, ' Subflow Bwd Bytes': 0.1459198296070099, ' min_seg_size_forward': 0.14432421326637268, ' Fwd IAT Mean': 0.14213328063488007, ' Bwd Packet Length Min': 0.1348167508840561, 'FIN Flag Count': 0.11929386109113693}"
DoS Hulk,0,0,"{' act_data_pkt_fwd': 0.8562657833099365, ' Fwd Header Length.1': 0.8559846878051758, 'Subflow Fwd Packets': 0.853498637676239, ' ACK Flag Count': 0.8507872819900513, ' Fwd Header Length': 0.848129391670227, ' Subflow Bwd Packets': 0.8481014370918274, 'Idle Mean': 0.8474872708320618, ' Active Max': 0.8405154943466187, ' Bwd Header Length': 0.8401889801025391, ' Idle Min': 0.8366662859916687, ' Fwd Packet Length Mean': 0.8357254266738892, ' Total Backward Packets': 0.8308532238006592, ' Protocol': 0.8290056586265564, ' Avg Fwd Segment Size': 0.8276779055595398, ' Active Std': 0.8276363015174866, ' Packet Length Variance': 0.8218565583229065, ' Down/Up Ratio': 0.8211354613304138, ' Total Fwd Packets': 0.8182036280632019, ' Min Packet Length': 0.8173983693122864, ' Idle Max': 0.8171677589416504, ' Flow IAT Min': 0.8112318515777588, ' Max Packet Length': 0.8094988465309143, ' Fwd Packet Length Min': 0.793384313583374, ' RST Flag Count': 0.7911526560783386, ' ECE Flag Count': 0.7881489396095276, ' Packet Length Std': 0.7549076676368713, ' Average Packet Size': 0.7440341114997864, 'Active Mean': 0.7341142296791077, ' Bwd IAT Min': 0.7231661677360535, ' Active Min': 0.6275772452354431, ' Bwd Avg Bytes/Bulk': 0.5267685651779175, ' Fwd Avg Packets/Bulk': 0.5136253833770752, 'Bwd Avg Bulk Rate': 0.5075517296791077, ' Bwd Avg Packets/Bulk': 0.48919379711151123, ' Bwd URG Flags': 0.4842624366283417, 'Fwd Avg Bytes/Bulk': 0.4834900200366974, ' Bwd PSH Flags': 0.4760282039642334, ' Fwd Avg Bulk Rate': 0.46549877524375916, ' Init_Win_bytes_backward': 0.38503748178482056, ' CWE Flag Count': 0.2835003137588501, ' Fwd URG Flags': 0.2712697386741638, ' Idle Std': 0.21083642542362213, ' URG Flag Count': 0.20878003537654877, 'Bwd Packet Length Max': 0.1960729956626892, ' Flow IAT Std': 0.19524092972278595, ' Fwd IAT Std': 0.19314488768577576, ' Flow IAT Mean': 0.1870521605014801, ' SYN Flag Count': 0.18553560972213745, ' Bwd Packet Length Std': 0.1854816973209381, 'Fwd PSH Flags': 0.1828242987394333, ' Fwd IAT Mean': 0.18270930647850037, ' PSH Flag Count': 0.1803685873746872, ' Fwd IAT Max': 0.17920002341270447, ' Bwd IAT Std': 0.17842136323451996, ' Bwd IAT Mean': 0.17833629250526428, ' Bwd Packets/s': 0.17644955217838287, ' Avg Bwd Segment Size': 0.1749313324689865, 'Fwd Packets/s': 0.173406720161438, ' Bwd Packet Length Mean': 0.1731097549200058, ' Subflow Fwd Bytes': 0.17170102894306183, ' Fwd Packet Length Max': 0.169081911444664, ' Flow IAT Max': 0.16616761684417725, 'Total Length of Fwd Packets': 0.16611425578594208, ' Bwd IAT Max': 0.1660340279340744, ' Fwd IAT Min': 0.16456221044063568, 'Init_Win_bytes_forward': 0.16318941116333008, 'Fwd IAT Total': 0.1551969200372696, ' min_seg_size_forward': 0.15460166335105896, ' Fwd Packet Length Std': 0.15409734845161438, ' Total Length of Bwd Packets': 0.1532195806503296, ' Flow Duration': 0.15180577337741852, ' Packet Length Mean': 0.1503474861383438, ' Subflow Bwd Bytes': 0.1476588249206543, 'Bwd IAT Total': 0.14581064879894257, ' Bwd Packet Length Min': 0.13181783258914948, 'FIN Flag Count': 0.1187419518828392}"
DDoS,3151,0,"{' Fwd Header Length': 0.8833907842636108, ' act_data_pkt_fwd': 0.8830799460411072, ' Fwd Header Length.1': 0.8801762461662292, ' Bwd Header Length': 0.8784579038619995, ' Total Backward Packets': 0.8780041337013245, ' Subflow Bwd Packets': 0.8547776341438293, 'Subflow Fwd Packets': 0.8402964472770691, ' Active Max': 0.8393054008483887, 'Idle Mean': 0.8387013673782349, ' Max Packet Length': 0.8381121754646301, ' Avg Fwd Segment Size': 0.8376948237419128, ' Total Fwd Packets': 0.836612343788147, ' Active Std': 0.8364748358726501, ' Flow IAT Min': 0.835426926612854, ' Fwd Packet Length Mean': 0.8320110440254211, ' Packet Length Variance': 0.8320093154907227, ' Idle Min': 0.8286674618721008, ' Idle Max': 0.8205325603485107, ' ACK Flag Count': 0.8161113858222961, ' Min Packet Length': 0.8157558441162109, ' Down/Up Ratio': 0.8141626119613647, ' Protocol': 0.8010337352752686, ' Fwd Packet Length Min': 0.7952766418457031, ' ECE Flag Count': 0.7780511975288391, ' Packet Length Std': 0.7258914113044739, ' RST Flag Count': 0.7215375900268555, ' Bwd IAT Min': 0.7028782367706299, ' Average Packet Size': 0.6466255784034729, 'Active Mean': 0.6284126043319702, ' Active Min': 0.5959198474884033, ' Bwd Avg Packets/Bulk': 0.5410115122795105, ' Fwd Avg Packets/Bulk': 0.5384745597839355, ' Fwd Avg Bulk Rate': 0.5320857167243958, 'Bwd Avg Bulk Rate': 0.5151679515838623, ' Bwd Avg Bytes/Bulk': 0.5112298727035522, ' Bwd PSH Flags': 0.504917323589325, ' Bwd URG Flags': 0.48456650972366333, 'Fwd Avg Bytes/Bulk': 0.4730558693408966, ' Init_Win_bytes_backward': 0.34220337867736816, ' CWE Flag Count': 0.28847652673721313, ' Fwd URG Flags': 0.2660400867462158, 'Bwd Packet Length Max': 0.2348058521747589, ' Bwd Packets/s': 0.22328518331050873, ' URG Flag Count': 0.1979668140411377, ' Fwd IAT Std': 0.19508153200149536, ' Flow IAT Max': 0.19224640727043152, ' Avg Bwd Segment Size': 0.18758241832256317, ' Bwd Packet Length Std': 0.18696607649326324, ' Idle Std': 0.18628837168216705, ' Flow IAT Std': 0.18435564637184143, ' Flow IAT Mean': 0.17963388562202454, ' PSH Flag Count': 0.17861539125442505, 'Total Length of Fwd Packets': 0.17476756870746613, ' Fwd Packet Length Std': 0.17333686351776123, ' SYN Flag Count': 0.17324988543987274, 'Init_Win_bytes_forward': 0.17314083874225616, ' Flow Duration': 0.16919545829296112, ' min_seg_size_forward': 0.16490168869495392, 'Fwd Packets/s': 0.16478563845157623, ' Packet Length Mean': 0.16446258127689362, ' Subflow Fwd Bytes': 0.16192872822284698, 'Bwd IAT Total': 0.16035211086273193, ' Bwd IAT Std': 0.15824882686138153, ' Bwd Packet Length Mean': 0.1572805941104889, ' Fwd IAT Max': 0.15491269528865814, ' Fwd IAT Min': 0.15210358798503876, ' Bwd IAT Max': 0.15192024409770966, ' Fwd Packet Length Max': 0.15072092413902283, ' Bwd IAT Mean': 0.14740397036075592, ' Subflow Bwd Bytes': 0.145831897854805, ' Fwd IAT Mean': 0.14539100229740143, 'Fwd PSH Flags': 0.143545463681221, 'Fwd IAT Total': 0.1372707486152649, ' Total Length of Bwd Packets': 0.13281792402267456, ' Bwd Packet Length Min': 0.12739792466163635, 'FIN Flag Count': 0.12136321514844894}"
PortScan,1,0,"{' Fwd Header Length': 0.873044490814209, ' Fwd Header Length.1': 0.8641902804374695, ' Bwd Header Length': 0.8545494079589844, ' Subflow Bwd Packets': 0.8532847166061401, ' ACK Flag Count': 0.851662814617157, ' Fwd Packet Length Mean': 0.8498448729515076, ' Total Backward Packets': 0.8485448956489563, ' Idle Min': 0.8473139405250549, ' act_data_pkt_fwd': 0.8443201184272766, 'Subflow Fwd Packets': 0.8441510200500488, ' Total Fwd Packets': 0.8415352702140808, ' Max Packet Length': 0.8409547209739685, ' Flow IAT Min': 0.8361949324607849, 'Idle Mean': 0.8352093696594238, ' Active Max': 0.8336259722709656, ' Idle Max': 0.8298556208610535, ' Avg Fwd Segment Size': 0.8220924139022827, ' Packet Length Variance': 0.8205538392066956, ' Protocol': 0.8185527324676514, ' Active Std': 0.8182159066200256, ' Min Packet Length': 0.8158297538757324, ' Down/Up Ratio': 0.8128061890602112, ' Fwd Packet Length Min': 0.8107874393463135, ' ECE Flag Count': 0.7821296453475952, ' RST Flag Count': 0.7760011553764343, ' Bwd IAT Min': 0.7471153736114502, ' Packet Length Std': 0.728508710861206, ' Average Packet Size': 0.6833307147026062, 'Active Mean': 0.6641986966133118, ' Active Min': 0.5890019536018372, 'Bwd Avg Bulk Rate': 0.556012749671936, ' Bwd PSH Flags': 0.5058393478393555, ' Bwd Avg Bytes/Bulk': 0.49849405884742737, ' Fwd Avg Packets/Bulk': 0.4882010221481323, ' Bwd Avg Packets/Bulk': 0.4857153296470642, ' Fwd Avg Bulk Rate': 0.4842222332954407, 'Fwd Avg Bytes/Bulk': 0.48126021027565, ' Bwd URG Flags': 0.4764693081378937, ' Init_Win_bytes_backward': 0.34178245067596436, ' CWE Flag Count': 0.2734622657299042, ' Fwd URG Flags': 0.2687371075153351, ' Bwd Packets/s': 0.21877826750278473, ' Flow IAT Std': 0.2067226767539978, ' Bwd Packet Length Std': 0.20120030641555786, 'Bwd Packet Length Max': 0.19774869084358215, ' Bwd Packet Length Mean': 0.19727103412151337, ' URG Flag Count': 0.19452421367168427, ' Idle Std': 0.18815328180789948, ' Fwd IAT Std': 0.18601392209529877, ' Avg Bwd Segment Size': 0.18566948175430298, ' Subflow Fwd Bytes': 0.1811257153749466, ' Flow IAT Max': 0.17952609062194824, ' Flow IAT Mean': 0.17600895464420319, ' PSH Flag Count': 0.17562918365001678, 'Total Length of Fwd Packets': 0.17555174231529236, 'Fwd Packets/s': 0.17529906332492828, ' Fwd IAT Max': 0.17379161715507507, ' Flow Duration': 0.17146237194538116, ' Fwd Packet Length Max': 0.16606223583221436, ' Bwd IAT Std': 0.1649482399225235, ' Fwd Packet Length Std': 0.16375307738780975, ' Fwd IAT Min': 0.16275134682655334, 'Init_Win_bytes_forward': 0.16152481734752655, 'Fwd IAT Total': 0.16144919395446777, ' SYN Flag Count': 0.1601196527481079, ' Packet Length Mean': 0.15850204229354858, ' Subflow Bwd Bytes': 0.15611231327056885, 'Bwd IAT Total': 0.15252840518951416, ' Bwd IAT Max': 0.15203586220741272, ' Bwd IAT Mean': 0.1505744606256485, ' min_seg_size_forward': 0.1484706699848175, 'FIN Flag Count': 0.14846307039260864, 'Fwd PSH Flags': 0.1463722586631775, ' Fwd IAT Mean': 0.14146506786346436, ' Total Length of Bwd Packets': 0.1362995207309723, ' Bwd Packet Length Min': 0.12307599931955338}"
FTP-Patator,6834,0,"{' Total Backward Packets': 0.8680105805397034, ' Fwd Header Length.1': 0.8643530607223511, ' Fwd Header Length': 0.8622243404388428, ' Total Fwd Packets': 0.8535953164100647, ' Bwd Header Length': 0.848459780216217, ' ACK Flag Count': 0.8441352844238281, ' Subflow Bwd Packets': 0.8437768816947937, ' Fwd Packet Length Min': 0.8434797525405884, ' Active Max': 0.8427969813346863, 'Subflow Fwd Packets': 0.841819703578949, ' Idle Min': 0.838979184627533, ' act_data_pkt_fwd': 0.8372290134429932, ' Active Std': 0.8299185037612915, ' Protocol': 0.8284419775009155, ' Max Packet Length': 0.825674831867218, ' Avg Fwd Segment Size': 0.8227135539054871, 'Idle Mean': 0.8226147890090942, ' Packet Length Variance': 0.8217969536781311, ' Min Packet Length': 0.820587158203125, ' Down/Up Ratio': 0.8168153762817383, ' Idle Max': 0.8157306909561157, ' Fwd Packet Length Mean': 0.8152862787246704, ' Flow IAT Min': 0.8071181178092957, ' RST Flag Count': 0.7970741391181946, ' ECE Flag Count': 0.7856002449989319, ' Average Packet Size': 0.7388274073600769, ' Packet Length Std': 0.7386057376861572, ' Bwd IAT Min': 0.711876392364502, 'Active Mean': 0.7067111730575562, ' Active Min': 0.5933039784431458, ' Fwd Avg Packets/Bulk': 0.5230014324188232, 'Bwd Avg Bulk Rate': 0.5207911133766174, ' Bwd PSH Flags': 0.5131509900093079, ' Fwd Avg Bulk Rate': 0.507076621055603, ' Bwd URG Flags': 0.47508132457733154, ' Bwd Avg Packets/Bulk': 0.46855637431144714, 'Fwd Avg Bytes/Bulk': 0.46730828285217285, ' Bwd Avg Bytes/Bulk': 0.44189849495887756, ' Init_Win_bytes_backward': 0.3592503070831299, ' CWE Flag Count': 0.2986963987350464, ' Fwd URG Flags': 0.29638853669166565, 'Bwd Packet Length Max': 0.2156921625137329, ' Bwd Packets/s': 0.20669159293174744, ' URG Flag Count': 0.20049822330474854, ' Bwd Packet Length Mean': 0.1978059709072113, ' Idle Std': 0.19388027489185333, ' Bwd IAT Std': 0.19012266397476196, ' Flow IAT Std': 0.1885078400373459, ' SYN Flag Count': 0.18846376240253448, ' Subflow Fwd Bytes': 0.18676649034023285, ' Flow IAT Max': 0.1838962435722351, ' Fwd IAT Std': 0.1822761595249176, ' Bwd Packet Length Std': 0.1815231293439865, ' min_seg_size_forward': 0.17614585161209106, ' Subflow Bwd Bytes': 0.17560070753097534, 'Fwd PSH Flags': 0.17493242025375366, ' Fwd IAT Max': 0.17301779985427856, ' Total Length of Bwd Packets': 0.17216961085796356, 'Total Length of Fwd Packets': 0.1719890534877777, 'Fwd Packets/s': 0.17053885757923126, ' PSH Flag Count': 0.16956591606140137, ' Fwd IAT Min': 0.16841177642345428, ' Avg Bwd Segment Size': 0.1684080809354782, ' Bwd IAT Mean': 0.16787157952785492, ' Fwd Packet Length Std': 0.16713137924671173, ' Fwd Packet Length Max': 0.16706286370754242, ' Flow Duration': 0.16309744119644165, ' Packet Length Mean': 0.155559241771698, 'Fwd IAT Total': 0.1548231542110443, ' Flow IAT Mean': 0.15271571278572083, ' Bwd IAT Max': 0.15269824862480164, 'Init_Win_bytes_forward': 0.14681467413902283, ' Bwd Packet Length Min': 0.14360342919826508, 'Bwd IAT Total': 0.13956889510154724, ' Fwd IAT Mean': 0.1393289566040039, 'FIN Flag Count': 0.12379785627126694}"
